id,month_key,date,week,top,photo,photo_info,rating,menu,map,coupon,p_coupon,seat,other,total
160,2020-04,2020-04-07,"火",8,5,15,0,8,1,0,0,1,2,40
161,2020-04,2020-04-08,"水",26,5,1,2,6,1,1,0,1,7,50
162,2020-04,2020-04-09,"木",18,1,0,6,3,1,1,0,2,4,36
163,2020-04,2020-04-10,"金",28,4,2,3,8,2,1,0,4,5,57
164,2020-04,2020-04-11,"土",13,8,1,0,0,2,0,0,0,1,25
165,2020-04,2020-04-12,"日",20,3,4,0,3,4,0,0,3,2,39
166,2020-04,2020-04-13,"月",16,1,0,0,5,2,0,0,2,4,30
167,2020-04,2020-04-14,"火",7,1,1,8,1,0,0,0,0,2,20
168,2020-04,2020-04-15,"水",33,0,0,5,10,4,1,0,2,10,65
169,2020-04,2020-04-16,"木",16,0,0,6,2,3,1,0,1,2,31
170,2020-04,2020-04-17,"金",26,3,0,6,4,5,2,0,1,8,55
171,2020-04,2020-04-18,"土",18,0,0,5,3,1,1,0,1,3,32
172,2020-04,2020-04-19,"日",17,8,0,0,2,1,0,0,1,1,30
173,2020-04,2020-04-20,"月",19,8,3,4,2,1,0,0,1,1,39
174,2020-04,2020-04-21,"火",18,1,2,1,9,1,3,0,0,13,48
175,2020-04,2020-04-22,"水",9,2,2,6,3,0,1,0,0,4,27
176,2020-04,2020-04-23,"木",9,0,0,0,0,1,1,0,0,1,12
177,2020-04,2020-04-24,"金",11,1,0,4,10,0,2,0,0,2,30
178,2020-04,2020-04-25,"土",16,4,5,1,0,0,1,0,0,1,28
179,2020-04,2020-04-26,"日",31,19,29,13,17,4,5,0,3,14,135
180,2020-04,2020-04-27,"月",15,0,0,13,6,2,0,0,0,0,36
181,2020-04,2020-04-28,"火",18,3,1,7,6,1,0,0,1,2,39
182,2020-04,2020-04-29,"水",36,18,13,0,32,1,1,0,4,24,129
183,2020-04,2020-04-30,"木",32,5,2,4,9,2,1,0,1,4,60
184,2020-03,2020-03-01,"日",43,2,2,32,10,2,7,0,3,12,113
185,2020-03,2020-03-02,"月",55,7,10,7,59,3,6,0,6,35,188
186,2020-03,2020-03-03,"火",50,24,5,14,16,7,1,0,3,9,129
187,2020-03,2020-03-04,"水",48,5,5,11,18,9,1,0,0,8,105
188,2020-03,2020-03-05,"木",31,8,1,4,13,1,1,0,1,5,65
189,2020-03,2020-03-06,"金",55,3,2,5,54,1,0,0,4,25,149
190,2020-03,2020-03-07,"土",72,21,14,12,17,14,4,0,6,18,178
191,2020-03,2020-03-08,"日",68,23,20,16,26,4,15,0,6,39,217
192,2020-03,2020-03-09,"月",47,19,13,32,21,7,4,0,5,17,165
193,2020-03,2020-03-10,"火",69,13,1,26,29,6,6,0,7,11,168
194,2020-03,2020-03-11,"水",32,9,0,3,11,3,1,0,4,4,67
195,2020-03,2020-03-12,"木",63,26,10,25,13,8,4,0,5,16,170
196,2020-03,2020-03-13,"金",48,5,3,16,12,8,0,0,0,9,101
197,2020-03,2020-03-14,"土",42,8,13,10,11,8,3,0,2,24,121
198,2020-03,2020-03-15,"日",51,4,0,2,22,5,2,0,3,11,100
199,2020-03,2020-03-16,"月",36,16,3,10,11,2,7,0,9,13,107
200,2020-03,2020-03-17,"火",39,3,2,14,20,2,2,0,2,11,95
201,2020-03,2020-03-18,"水",25,2,8,3,13,2,1,0,2,5,61
202,2020-03,2020-03-19,"木",54,27,64,16,29,4,5,0,5,12,216
203,2020-03,2020-03-20,"金",86,17,15,32,50,26,8,0,8,18,260
204,2020-03,2020-03-21,"土",51,0,1,6,25,5,1,0,3,11,103
205,2020-03,2020-03-22,"日",40,13,12,6,9,3,1,0,4,13,101
206,2020-03,2020-03-23,"月",38,34,9,12,13,2,0,0,4,10,122
207,2020-03,2020-03-24,"火",47,1,1,2,16,0,3,0,5,30,105
208,2020-03,2020-03-25,"水",50,26,5,4,18,5,4,0,2,7,121
209,2020-03,2020-03-26,"木",47,11,6,12,24,2,8,0,9,33,152
210,2020-03,2020-03-27,"金",46,23,498,3,27,8,4,0,2,22,633
211,2020-03,2020-03-28,"土",48,21,9,8,33,2,3,0,2,10,136
212,2020-03,2020-03-29,"日",46,4,4,6,19,7,3,0,1,12,102
213,2020-03,2020-03-30,"月",27,3,1,3,6,4,1,0,0,4,49
214,2020-03,2020-03-31,"火",22,10,2,0,6,4,1,0,0,3,48
215,2020-02,2020-02-01,"土",35,38,13,9,15,3,5,0,0,5,123
216,2020-02,2020-02-02,"日",38,5,25,1,27,8,5,0,1,6,116
217,2020-02,2020-02-03,"月",34,11,3,8,9,2,5,0,0,25,97
218,2020-02,2020-02-04,"火",54,27,12,52,12,6,3,0,0,7,173
219,2020-02,2020-02-05,"水",94,49,91,107,41,6,14,0,0,99,501
220,2020-02,2020-02-06,"木",64,16,5,14,34,1,11,0,4,31,180
221,2020-02,2020-02-07,"金",55,9,10,7,17,6,12,0,7,29,152
